path,canonical_or_generated,primary_surface,current_consumers,planned_change,run_owner,collision_risk,coordination_required
server.js,canonical,Express live app,all live routes,Add focused School admin route and bounded no-store BNA-scoped summary API,BNA-SEP-01,high,avoid unrelated Operations/One Time behavior
public/school-admin.html,canonical,School admin,operations admins,New focused School shell,BNA-SEP-01,low,new file
public/css/school-admin.css,canonical,School admin,operations admins,New focused BNA School styling,BNA-SEP-01,low,new file
public/js/school-admin.js,canonical,School admin,operations admins,New focused School runtime with useful-action marks and bounded fetch,BNA-SEP-01,low,new file
ops/route-registry.json,canonical registry,route coverage,watchdog/security checks,Register /operations/school and /api/bna/school-admin/summary,BNA-SEP-01,medium,registry rows must match source
ops/action-registry.json,canonical registry,action coverage,action watchdog checks,Register School tab refresh row-open and portal-link actions,BNA-SEP-01,medium,registry rows must match visible controls
ops/action-registry/one-time-action-coverage.json,generated registry evidence,action coverage,watchdog action test,Refresh content hash after root action registry changed,BNA-SEP-01,medium,generated by scripts/generate-one-time-action-coverage.mjs
ops/action-registry/one-time-action-coverage.md,generated registry evidence,action coverage,operator review,Refresh readable coverage after root action registry changed,BNA-SEP-01,medium,generated by scripts/generate-one-time-action-coverage.mjs
ops/action-registry/universal-action-parity.json,generated registry evidence,action coverage,watchdog action test,Refresh parity hash after School actions were registered,BNA-SEP-01,medium,generated by scripts/generate-universal-action-parity.mjs
ops/action-registry/universal-action-parity.md,generated registry evidence,action coverage,operator review,Refresh readable parity after School actions were registered,BNA-SEP-01,medium,generated by scripts/generate-universal-action-parity.mjs
ops/product-quality-compiler/validation/latest-product-quality-validation.json,generated PQC evidence,quality gate,PQC validation,Refresh after required PQC validation commands,BNA-SEP-01,medium,generated by npm run pqc:validate and fixtures
ops/product-quality-compiler/validation/latest-product-quality-validation.md,generated PQC evidence,quality gate,PQC validation,Refresh after required PQC validation commands,BNA-SEP-01,medium,generated by npm run pqc:validate and fixtures
ops/product-quality-compiler/evals/latest-eval-report.json,generated PQC evidence,quality gate,PQC evals,Refresh after required PQC eval command,BNA-SEP-01,medium,generated by npm run pqc:evals
ops/product-quality-compiler/evals/latest-eval-report.md,generated PQC evidence,quality gate,PQC evals,Refresh after required PQC eval command,BNA-SEP-01,medium,generated by npm run pqc:evals
ops/watchdog-audits/2026-07-15-product-quality-drift.json,generated watchdog evidence,protocol drift,watchdog protocol drift,Record required watchdog protocol drift run,BNA-SEP-01,medium,generated by npm run watchdog:protocol-drift
ops/watchdog-audits/2026-07-15-product-quality-drift.md,generated watchdog evidence,protocol drift,watchdog protocol drift,Record required watchdog protocol drift run,BNA-SEP-01,medium,generated by npm run watchdog:protocol-drift
package.json,canonical tooling,npm scripts,local and CI checks,Add School performance audit and budget commands,BNA-SEP-01,medium,avoid changing unrelated scripts
scripts/check-school-admin-performance-budget.mjs,canonical tooling,CI/local checks,School speed stabilization,New static budget gate,BNA-SEP-01,low,new file
scripts/audit-school-admin-performance.mjs,canonical tooling,run evidence,School speed stabilization,New static evidence writer,BNA-SEP-01,low,new file writes only explicit run evidence
tests/school-admin-speed-surface.test.js,canonical tests,node test runner,School speed stabilization,New focused contract tests,BNA-SEP-01,low,new file
ops/codex-runs/BNA-SEP-01/**,generated run evidence,Codex run audit,CODEX-01 continuation,Record prompt route matrix evidence blockers and closeout,BNA-SEP-01,low,keep sanitized and current
public/operations.html,canonical,Operations shell,operations admins,No change,BNA-SEP-01,high,do not edit for this checkpoint
public/operations-bootstrap.html,generated/operations shell,Operations shell,operations admins,No change,BNA-SEP-01,high,do not edit for this checkpoint
public/js/operations-shell.js,canonical/generated operations runtime,Operations shell,operations admins,No change,BNA-SEP-01,high,do not edit for this checkpoint
public/parent.html,canonical,parent portal,parents,No change,BNA-SEP-01,medium,regression tests only
public/student.html,canonical,student portal,students,No change,BNA-SEP-01,medium,regression tests only
ops/chatgpt-ramble-dropoff/CONTROL-TOWER.json,generated dropoff control,ChatGPT dropoff,required startup check,Generated by required status command but not part of School implementation,BNA-SEP-01,medium,leave unstaged unless intentionally capturing tower refresh
ops/chatgpt-ramble-dropoff/CONTROL-TOWER.md,generated dropoff control,ChatGPT dropoff,required startup check,Generated by required status command but not part of School implementation,BNA-SEP-01,medium,leave unstaged unless intentionally capturing tower refresh
